precio,expensas,metros,ambientes,banos,direccion,barrio
USD 260.000,$ 84.000 Expensas,74 m² tot.,4 amb.,2 baños,Gurruchaga e/ Guatemala y Paraguay,"Palermo Soho, Palermo"
USD 168.510,,60 m² tot.,3 amb.,1 baño,Av La Plata  al 600,"Caballito, Capital Federal"
USD 840.000,$ 830.000 Expensas,128 m² tot.,3 amb.,2 baños,Azucena Villaflor al 400,"Puerto Madero, Capital Federal"
USD 615.000,$ 495.000 Expensas,160 m² tot.,4 amb.,2 baños,Villanueva  al 1100,"Belgrano, Capital Federal"
USD 670.000,$ 1.200.000 Expensas,161 m² tot.,4 amb.,2 baños,Jorge Newbery 1600,"Palermo, Capital Federal"
USD 410.000,$ 5.700.000 Expensas,82 m² tot.,2 amb.,1 baño,Juan Maria Gutierrez al 3700,"Palermo, Capital Federal"
USD 560.000,$ 993.000 Expensas,175 m² tot.,5 amb.,3 baños,Avenida Callao 1400,"Recoleta, Capital Federal"
USD 99.000,$ 180.000 Expensas,36 m² tot.,1 amb.,1 baño,Ecuador 1300,"Recoleta, Capital Federal"
USD 475.000,$ 490.000 Expensas,137 m² tot.,4 amb.,3 baños,Gregoria Perez al 3200,"Colegiales, Capital Federal"
USD 330.000,,128 m² tot.,3 amb.,2 baños,"NEWBERY, JORGE 3245. Entre Conde y Gral enrique martinez","Concepción, Colegiales"
USD 535.000,,111 m² tot.,3 amb.,2 baños,Marcelo T. Alvear 1700,"Recoleta, Capital Federal"
USD 74.900,$ 120.000 Expensas,39 m² tot.,1 amb.,1 baño,Emilio Mitre 641,"Caballito, Capital Federal"
USD 149.000,,56 m² tot.,2 amb.,1 baño,Achaval 426 3º A,"Caballito Sur, Caballito"
USD 649.000,$ 1.350.000 Expensas,215 m² tot.,5 amb.,4 baños,Av. Libertador  al 4600,"Palermo, Capital Federal"
USD 138.000,$ 180.000 Expensas,69 m² tot.,2 amb.,1 baño,Bulnes al 1500,"Palermo, Capital Federal"
USD 800.000,,180 m² tot.,1 amb.,2 baños,Rivadavia al 6700,"Flores, Capital Federal"
USD 91.000,$ 1 Expensas,32 m² tot.,1 amb.,1 baño,Av. Nazca  al 2800,"Villa del Parque, Capital Federal"
USD 690.000,$ 1.100.000 Expensas,178 m² tot.,4 amb.,3 baños,Av. Libertador al 300,"Recoleta, Capital Federal"
USD 90.800,,31 m² tot.,1 amb.,1 baño,Paraguay al 1200,"Recoleta, Capital Federal"
USD 1.850.000,$ 1.875.000 Expensas,311 m² tot.,6 amb.,4 baños,Guatemala,"Palermo, Capital Federal"
USD 135.000,$ 300.000 Expensas,44 m² tot.,1 amb.,1 baño,Armenia al 2400,"Botánico, Palermo"
USD 169.000,,88 m² tot.,4 amb.,1 baño,Ramon Lista 3 al 5100,"Villa Devoto, Capital Federal"
USD 85.000,,25 m² tot.,1 amb.,1 baño,soler 3495,"Palermo Viejo, Palermo"
USD 230.000,$ 290.000 Expensas,77 m² tot.,3 amb.,2 baños,Federico Lacroze 3000,"Belgrano, Capital Federal"
USD 179.000,$ 428.817 Expensas,66 m² tot.,1 amb.,1 baño,Paraguay al 800,"Retiro, Capital Federal"
USD 39.000,,86 m² tot.,1 amb.,1 baño,Agustin Magaldi al 1600,"Barracas, Capital Federal"
USD 1.700.000,$ 2.500.000 Expensas,233 m² tot.,4 amb.,4 baños,Julieta Lanteri 1241,"Puerto Madero, Capital Federal"
USD 209.900,,59 m² tot.,2 amb.,1 baño,Eslovenia 1900,"Las Cañitas, Palermo"
USD 395.000,$ 322.000 Expensas,145 m² tot.,4 amb.,3 baños,AV de los Incas  al 3300,"Belgrano, Capital Federal"
USD 300.000,,300 m² tot.,4 amb.,2 baños,"OLAVARRIETA, DIEGO DE 1400. Entre Emilio Castro, Avda. y Ercilla","Mataderos, Capital Federal"
USD 59.900,$ 250.000 Expensas,66 m² tot.,3 amb.,1 baño,Bernardo de Irigoyen  al 300,"Monserrat, Capital Federal"
USD 920.000,$ 1.600.000 Expensas,159 m² tot.,3 amb.,2 baños,Azucena Villaflor al 400,"Puerto Madero, Capital Federal"
USD 119.900,$ 85.000 Expensas,43 m² tot.,1 amb.,1 baño,Mosconi 2800,"Villa Pueyrredón, Capital Federal"
USD 148.000,$ 229.691 Expensas,71 m² tot.,3 amb.,1 baño,Moldes al 4000,"Saavedra, Capital Federal"
USD 497.100,,125 m² tot.,4 amb.,2 baños,Juan B. Alberdi al 400,"Caballito, Capital Federal"
USD 2.200.000,,287 m² tot.,,,Migueletes 900,"Las Cañitas, Palermo"
Consultar precio,,64 m² tot.,2 amb.,1 baño,República de Eslovenia 1988 11°,"Las Cañitas, Palermo"
USD 105.000,$ 90.000 Expensas,45 m² tot.,3 amb.,1 baño,Martin de Gainza al 1000,"Caballito Norte, Caballito"
USD 630.000,,168 m² tot.,3 amb.,1 baño,Soler 5755,"Palermo Hollywood, Palermo"
USD 120.412,,36 m² tot.,1 amb.,1 baño,Amenábar al 1000,"Colegiales, Capital Federal"
USD 550.000,$ 1.100.000 Expensas,124 m² tot.,4 amb.,3 baños,Ortega y Gasset  al 1600,"Las Cañitas, Palermo"
USD 269.000,$ 270.000 Expensas,90 m² tot.,3 amb.,1 baño,Mariscal Antonio José de Sucre 3000,"Belgrano R, Belgrano"
USD 580.000,$ 1.000.000 Expensas,118 m² tot.,3 amb.,2 baños,Luis Maria Campos al 1300,"Belgrano, Capital Federal"
USD 475.000,$ 700.000 Expensas,228 m² tot.,7 amb.,3 baños,Montevideo al 1900,"Recoleta, Capital Federal"
USD 902.300,,218 m² tot.,4 amb.,4 baños,Av Pedro Goyena 251,"Caballito Sur, Caballito"
USD 375.000,$ 750.000 Expensas,117 m² tot.,4 amb.,2 baños,"Hernandez, Jose 1900 (esquina 3 de Febrero)","Belgrano, Capital Federal"
USD 180.000,$ 360.000 Expensas,82 m² tot.,3 amb.,1 baño,San José de Calasanz al 200,"Caballito, Capital Federal"
USD 190.000,,85 m² tot.,3 amb.,2 baños,Guardia Nacional al 700,"Mataderos, Capital Federal"
USD 226.255,$ 150.000 Expensas,61 m² tot.,2 amb.,1 baño,Montañeses  al 2700,"Belgrano, Capital Federal"
USD 375.000,$ 769.509 Expensas,199 m² tot.,4 amb.,2 baños,Avenida Santa Fe 3900,"Palermo, Capital Federal"
USD 98.000,$ 180.000 Expensas,71 m² tot.,3 amb.,1 baño,"Nazca 20, Piso 4","Flores, Capital Federal"
USD 140.000,$ 241.775 Expensas,84 m² tot.,3 amb.,1 baño,"Montevideo al 600, Entre Viamonte y Tucuman","San Nicolás, Capital Federal"
USD 128.135,,52 m² tot.,2 amb.,1 baño,Darwin 127,"Villa Crespo, Capital Federal"
USD 226.922,,72 m² tot.,1 amb.,1 baño,Cabildo al 3500,"Núñez, Capital Federal"
USD 250.000,$ 9.000 Expensas,100 m² tot.,2 amb.,1 baño,Arenales al 3600,"Palermo, Capital Federal"
USD 299.000,$ 300.000 Expensas,72 m² tot.,3 amb.,2 baños,Amenabar  al 1400,"Belgrano, Capital Federal"
USD 155.000,,69 m² tot.,3 amb.,1 baño,Alvarez Thomas  al 3000,"Villa Urquiza, Capital Federal"
USD 127.714,,50 m² tot.,2 amb.,1 baño,Boedo  al 200,"Almagro, Capital Federal"
USD 545.000,$ 870.000 Expensas,204 m² tot.,5 amb.,3 baños,Talcahuano  al 1200,"Recoleta, Capital Federal"
USD 330.000,,74 m² tot.,3 amb.,1 baño,Nicaragua al 5700,"Palermo, Capital Federal"
USD 490.000,$ 31.321 Expensas,226 m² tot.,,2 baños,Cabral Sgto. al 800,"Retiro, Capital Federal"
USD 2.100.000,,671 m² tot.,7 amb.,7 baños,Superí 2500,"Belgrano, Capital Federal"
USD 1.450.000,$ 1.300.000 Expensas,300 m² tot.,4 amb.,2 baños,Teodoro García  al 1900,"Belgrano, Capital Federal"
USD 1.150.000,,389 m² tot.,,,AV Monroe al 3300,"Coghlan, Capital Federal"
USD 450.000,,201 m² tot.,,,Castillo y Av. Scalabrini Ortiz,"Villa Crespo, Capital Federal"
USD 195.000,$ 180.000 Expensas,70 m² tot.,4 amb.,1 baño,Roosvelt 4836,"Villa Urquiza, Capital Federal"
USD 335.000,$ 1.033.000 Expensas,154 m² tot.,3 amb.,1 baño,Callao Av. al 1500,"Recoleta, Capital Federal"
USD 320.000,$ 460.000 Expensas,102 m² tot.,4 amb.,2 baños,Charcas y Bonpland,"Palermo, Capital Federal"
USD 195.000,,60 m² tot.,2 amb.,1 baño,Ciudad de la Paz 2246,"Belgrano, Capital Federal"
USD 169.000,,76 m² tot.,2 amb.,1 baño,CARRANZA ANGEL J. 1284. Entre Castillo y Cordoba Av.,"Palermo, Capital Federal"
USD 358.000,$ 485.000 Expensas,84 m² tot.,3 amb.,2 baños,Venezuela 55,"Puerto Madero, Capital Federal"
USD 415.000,$ 820.000 Expensas,128 m² tot.,4 amb.,2 baños,Billinghurst al 2400,"Palermo, Capital Federal"
USD 279.000,,83 m² tot.,3 amb.,2 baños,Ciudad de la Paz al 2200,"Belgrano, Capital Federal"
USD 550.000,,131 m² tot.,4 amb.,2 baños,Cuba al 3300,"Núñez, Capital Federal"
USD 152.000,$ 110.000 Expensas,86 m² tot.,4 amb.,2 baños,Ayacucho al 600,"Barrio Norte, Capital Federal"
USD 699.000,,92 m² tot.,3 amb.,2 baños,Zabala  al 1800,"Belgrano C, Belgrano"
USD 76.000,$ 118.000 Expensas,39 m² tot.,2 amb.,1 baño,Maipu 800,"Retiro, Capital Federal"
USD 130.000,$ 1 Expensas,47 m² tot.,2 amb.,1 baño,Rojas al 300,"Caballito, Capital Federal"
USD 546.000,,140 m² tot.,4 amb.,2 baños,Olazabal 2700,"Belgrano, Capital Federal"
